timestamp,namespace,pod,cpu,memory,latency,errors,restarts,failed
2026-01-01T00:00:00+00:00,prod,inventory-13,0.129,0.4144,104.85,0,0,False
2026-01-01T00:01:00+00:00,prod,payment-14,0.1963,0.4204,58.87,0,0,False
2026-01-01T00:02:00+00:00,prod,notification-19,0.1198,0.2884,133.5,1,1,False
2026-01-01T00:03:00+00:00,prod,auth-18,0.3681,0.5046,2706.11,34,1,True
2026-01-01T00:04:00+00:00,prod,payment-19,0.9741,0.4595,216.58,69,2,True
2026-01-01T00:05:00+00:00,staging,auth-10,0.1719,0.5119,62.28,2,1,False
2026-01-01T00:06:00+00:00,staging,inventory-10,0.1293,0.4048,74.74,2,0,False
2026-01-01T00:07:00+00:00,staging,auth-2,0.131,0.4232,168.36,2,1,False
2026-01-01T00:08:00+00:00,staging,inventory-19,0.1275,0.2374,90.49,0,0,False
2026-01-01T00:09:00+00:00,staging,inventory-10,0.4548,0.3388,191.1,2,0,False
2026-01-01T00:10:00+00:00,prod,notification-16,0.2388,0.3743,3281.9,73,0,True
2026-01-01T00:11:00+00:00,staging,checkout-13,0.4534,0.5277,179.6,2,1,False
2026-01-01T00:12:00+00:00,staging,inventory-8,0.1705,0.2928,85.0,3,0,False
2026-01-01T00:13:00+00:00,staging,inventory-1,0.3138,0.4439,97.79,1,0,False
2026-01-01T00:14:00+00:00,staging,auth-13,0.1414,0.4537,59.34,0,0,False
2026-01-01T00:15:00+00:00,prod,auth-4,0.121,0.2001,72.69,0,1,False
2026-01-01T00:16:00+00:00,prod,notification-3,0.3456,0.2594,87.84,2,1,False
2026-01-01T00:17:00+00:00,prod,auth-4,0.4972,0.3864,122.58,0,0,False
2026-01-01T00:18:00+00:00,staging,payment-9,0.3768,0.4065,80.78,2,0,False
2026-01-01T00:19:00+00:00,prod,notification-17,0.3572,0.2364,176.82,2,0,False
2026-01-01T00:20:00+00:00,prod,inventory-18,0.3011,0.4546,141.98,1,0,False
2026-01-01T00:21:00+00:00,prod,auth-7,0.2422,0.2116,54.19,2,1,False
2026-01-01T00:22:00+00:00,prod,inventory-20,0.2789,0.5748,198.21,2,0,False
2026-01-01T00:23:00+00:00,prod,checkout-8,0.2351,0.3931,197.79,0,1,False
2026-01-01T00:24:00+00:00,prod,inventory-4,0.4129,0.5001,121.7,1,1,False
2026-01-01T00:25:00+00:00,prod,inventory-13,0.3973,0.234,73.83,1,0,False
2026-01-01T00:26:00+00:00,staging,checkout-5,0.3383,0.3897,190.62,1,0,False
2026-01-01T00:27:00+00:00,prod,payment-4,0.4734,0.3735,180.76,1,0,False
2026-01-01T00:28:00+00:00,prod,inventory-10,0.4055,0.3304,131.65,1,0,False
2026-01-01T00:29:00+00:00,staging,inventory-19,0.3067,0.5309,181.73,1,0,False
2026-01-01T00:30:00+00:00,prod,notification-15,0.3434,0.5104,72.47,1,1,False
2026-01-01T00:31:00+00:00,prod,notification-18,0.4353,0.3318,184.04,41,4,True
2026-01-01T00:32:00+00:00,prod,inventory-4,0.3247,0.504,186.87,3,1,False
2026-01-01T00:33:00+00:00,prod,notification-9,0.3133,0.3912,191.23,2,0,False
2026-01-01T00:34:00+00:00,prod,auth-14,0.2768,0.229,86.1,0,0,False
2026-01-01T00:35:00+00:00,prod,inventory-5,0.3574,0.3465,87.97,1,1,False
2026-01-01T00:36:00+00:00,prod,checkout-13,0.1651,0.4671,83.56,3,1,False
2026-01-01T00:37:00+00:00,staging,inventory-7,0.1369,0.3464,100.7,3,1,False
2026-01-01T00:38:00+00:00,staging,payment-11,0.2182,0.5843,66.93,1,0,False
2026-01-01T00:39:00+00:00,staging,payment-9,0.9176,0.3389,163.34,43,1,True
2026-01-01T00:40:00+00:00,staging,checkout-11,0.4399,0.9458,234.29,44,0,True
2026-01-01T00:41:00+00:00,staging,payment-3,0.189,0.3058,68.25,0,1,False
2026-01-01T00:42:00+00:00,staging,notification-9,0.1173,0.4838,190.72,1,1,False
2026-01-01T00:43:00+00:00,prod,payment-7,0.3515,0.4124,80.88,3,0,False
2026-01-01T00:44:00+00:00,staging,inventory-1,0.1148,0.2074,125.85,1,1,False
